stt,ten_anh,ground_truth,du_doan_cuoi,du_doan_module_goc,khop_voi_module_goc,dung_bien_so,accuracy_ky_tu,edit_distance,hop_cau_truc_du_doan,so_box_yolo,fallback_anh_goc,so_bien_the_co_text,so_ung_vien,co_ung_vien_dung,ung_vien_thang_hop_cau_truc,ung_vien_thang_so_sua,ung_vien_thang_so_lan,ung_vien_thang_conf,bien_the_thang,ly_do_chon,thoi_gian_ms,nhom_loi
1,001.jpg,38A27374,38A27374,38A27374,True,True,1.0,0,True,0,True,3,2,True,True,0.0,2,0.9747164845466614,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.975,733.6229000065941,Đúng
2,002.jpg,59X139458,,,True,False,0.0,9,False,3,False,0,0,False,False,,0,0.0,,Không có ứng viên sau OCR và hậu xử lý,249.294799999916,OCR không đọc ra ký tự
3,003.jpg,81A23618,81A23618,81A23618,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.9668994843959808,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.967,536.4772000029916,Đúng
4,004.jpg,51H69860,51H69860,51H69860,True,True,1.0,0,True,1,False,3,3,True,True,0.0,1,0.9717600345611572,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 1 lần; OCR tin cậy 0.972,437.85570000181906,Đúng
5,005.jpg,51C05509,51C05509,51C05509,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.9625244140625,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.963,392.39310000266414,Đúng
6,006.jpg,51G94706,51G94706,51G94706,True,True,1.0,0,True,1,False,3,1,True,True,1.0,3,0.9445783495903015,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 1 ký tự; xuất hiện 3 lần; OCR tin cậy 0.945,354.79680000571534,Đúng
7,007.jpg,59P241572,59P241572,59P241572,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9449382126331329,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.945,581.1401000100886,Đúng
8,008.jpg,77L160030,77L160030,77L160030,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.970388799905777,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.970,506.3007999997353,Đúng
9,009.jpg,94AB08770,94AB08770,94AB08770,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9575213491916656,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.958,560.9169999952428,Đúng
10,010.jpg,71B350531,50S37,50S37,True,False,0.33333333333333337,6,False,1,False,3,2,False,False,1.0,2,0.8427636623382568,crop 0 - Ảnh CLAHE,Hợp cấu trúc=False; sửa 1 ký tự; xuất hiện 2 lần; OCR tin cậy 0.843,348.78329999628477,OCR đọc thiếu ký tự
11,011.jpg,79A11283,79A11283,79A11283,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9544214010238647,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.954,350.83270000177436,Đúng
