ten_anh,ground_truth,ung_vien_duoc_chon,dung_bien_so,co_ung_vien_dung,ly_do_chon,nhom_loi
001.jpg,38A27374,38A27374,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.975,Đúng
002.jpg,59X139458,,False,False,Không có ứng viên sau OCR và hậu xử lý,OCR không đọc ra ký tự
003.jpg,81A23618,81A23618,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.967,Đúng
004.jpg,51H69860,51H69860,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 1 lần; OCR tin cậy 0.972,Đúng
005.jpg,51C05509,51C05509,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.963,Đúng
006.jpg,51G94706,51G94706,True,True,Hợp cấu trúc=True; sửa 1 ký tự; xuất hiện 3 lần; OCR tin cậy 0.945,Đúng
007.jpg,59P241572,59P241572,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.945,Đúng
008.jpg,77L160030,77L160030,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.970,Đúng
009.jpg,94AB08770,94AB08770,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.958,Đúng
010.jpg,71B350531,50S37,False,False,Hợp cấu trúc=False; sửa 1 ký tự; xuất hiện 2 lần; OCR tin cậy 0.843,OCR đọc thiếu ký tự
011.jpg,79A11283,79A11283,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.954,Đúng
012.jpg,51A81930,51A81930,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.973,Đúng
013.jpg,60F128808,28B68,False,False,Hợp cấu trúc=False; sửa 1 ký tự; xuất hiện 1 lần; OCR tin cậy 0.779,OCR đọc thiếu ký tự
014.jpg,81B321596,81B321596,True,True,Hợp cấu trúc=True; sửa 1 ký tự; xuất hiện 2 lần; OCR tin cậy 0.947,Đúng
015.jpg,29H17054,29H17054,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.969,Đúng
016.jpg,30E43502,30E43502,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.954,Đúng
017.jpg,30A26144,30A26144,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.990,Đúng
018.jpg,89C15637,89C15637,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.989,Đúng
019.jpg,89A15961,89A15961,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.958,Đúng
020.jpg,30A26144,30A26144,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.989,Đúng
021.jpg,29C80581,29C80581,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.996,Đúng
022.jpg,30E45676,30E45676,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.980,Đúng
023.jpg,30F5204,30F5204,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.994,Đúng
024.jpg,30F5204,30F5204,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 6 lần; OCR tin cậy 0.996,Đúng
025.jpg,51G52911,51G52911,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.950,Đúng
026.jpg,29A85437,29A85437,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.958,Đúng
027.jpg,30F85806,30F85806,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.983,Đúng
028.jpg,30V8692,30V8692,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.994,Đúng
029.jpg,30A92645,30A92645,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.973,Đúng
030.jpg,88A03336,88A03336,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.980,Đúng
031.jpg,30F10317,30F10317,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.970,Đúng
032.jpg,29A26128,29A26128,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.996,Đúng
